_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2014,Aston Villa,€13.45m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2014,29,€1.32m,32,€-12.14m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2014,Burnley FC,€12.62m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2014,24,-,23,€-12.62m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/stoke-city/transfers/verein/512/saison_id/2014,Stoke City,€1.80m,https://www.transfermarkt.com/stoke-city/transfers/verein/512/w_s//pos//saison_id/2014,18,€3.80m,19,€2.00m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2015,Manchester City,€208.47m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2015,22,€67.44m,25,€-141.03m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2015,Manchester United,€156.00m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2015,22,€100.67m,20,€-55.33m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2015,Liverpool FC,€126.50m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2015,24,€90.55m,24,€-35.95m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2015,Newcastle United,€107.91m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2015,26,€5.63m,23,€-102.28m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2015,Chelsea FC,€96.50m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2015,39,€87.49m,37,€-9.01m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2015,Watford FC,€82.80m,https://www.transfermarkt.com/fc-watford/transfers/verein/1010/w_s//pos//saison_id/2015,33,€9.75m,30,€-73.05m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2015,Tottenham Hotspur,€71.00m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2015,11,€87.25m,21,€16.25m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2015,Aston Villa,€66.55m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2015,29,€64.70m,32,€-1.85m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2015,Sunderland AFC,€66.05m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2015,29,€11.00m,25,€-55.05m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2015,Southampton FC,€60.10m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2015,16,€52.70m,17,€-7.40m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2015,AFC Bournemouth,€55.11m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2015,36,€650k,33,€-54.46m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/stoke-city/transfers/verein/512/saison_id/2015,Stoke City,€53.65m,https://www.transfermarkt.com/stoke-city/transfers/verein/512/w_s//pos//saison_id/2015,13,€23.20m,14,€-30.45m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2015,West Ham United,€52.70m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2015,25,€18.52m,26,€-34.19m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2015,Norwich City,€50.50m,https://www.transfermarkt.com/norwich-city/transfers/verein/1123/w_s//pos//saison_id/2015,33,€21.49m,30,€-29.01m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2015,Leicester City,€49.90m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2015,25,€9.45m,32,€-40.45m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2015,Everton FC,€48.20m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2015,18,€11.00m,17,€-37.20m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2015,West Bromwich Albion,€42.90m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2015,12,€12.92m,13,€-29.98m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2015,Crystal Palace,€28.80m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2015,19,€5.40m,23,€-23.40m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2015,Arsenal FC,€26.50m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2015,15,€2.50m,12,€-24.00m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/swansea-city/transfers/verein/2288/saison_id/2015,Swansea City,€21.81m,https://www.transfermarkt.com/swansea-city/transfers/verein/2288/w_s//pos//saison_id/2015,20,€16.81m,24,€-5.01m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2016,Manchester City,€216.25m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2016,31,€35.35m,25,€-180.90m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2016,Manchester United,€185.00m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2016,9,€47.25m,14,€-137.75m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2016,Chelsea FC,€132.80m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2016,27,€108.90m,30,€-23.90m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2016,Arsenal FC,€113.00m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2016,11,€10.35m,12,€-102.65m
